continent,country,iso_code,capital,total_population,male_population,female_population,male_pct,female_pct,popular_language,other_languages,birth_rate_per_1000,death_rate_per_1000,avg_births_per_year,avg_deaths_per_year,natural_growth_per_year,source,surface_area_km2,land_area_km2,pop_density_per_km2
Africa,Algeria,DZA,Algiers,47435312,24186841,23248471,0.509891049098613,0.490108950901388,Arabic,,18.837,4.618,893539,219056,674483,World Bank 2025,2381740,2381740,19.92
Africa,Angola,AGO,Luanda,39040039,19322247,19717792,0.49493411110578,0.50506588889422,Portuguese,,37.158,6.84,1450650,267034,1183616,World Bank 2025,1246700,1246700,31.31
Africa,Benin,BEN,Porto-Novo,14814460,7430498,7383962,0.501570627616531,0.498429372383469,French,,33.419,8.71,495084,129034,366050,World Bank 2025,114760,112760,131.38
Africa,Botswana,BWA,Gaborone,2562122,1276493,1285629,0.498217102854587,0.501782897145413,English,Tswana,24.361,5.738,62416,14701,47715,World Bank 2025,581730,566730,4.52
Africa,Burkina Faso,BFA,Ouagadougou,24074580,11994178,12080402,0.498209231479843,0.501790768520157,French,Mossi,31.336,7.915,754401,190550,563851,World Bank 2025,274200,273600,87.99
Africa,Burundi,BDI,Gitega,14390003,7149019,7240984,0.496804552438245,0.503195447561755,French,Rundi,33.211,6.67,477906,95981,381925,World Bank 2025,27830,25680,560.36
Africa,Cabo Verde,CPV,Praia,527326,268154,259172,0.508516553327543,0.491483446672457,Portuguese,,12.222,5.096,6445,2687,3758,World Bank 2025,4030,4030,130.85
Africa,Cameroon,CMR,Yaounde,29879337,14890229,14989108,0.498345361545338,0.501654638454662,English,French,33.344,7.032,996297,210111,786186,World Bank 2025,475440,472710,63.21
Africa,Central African Republic,CAF,Bangui,5513282,2650480,2862802,0.480744500281321,0.519255499718679,French,"Sango, Lingala, Kongo",46.193,9.379,254675,51709,202966,World Bank 2025,622980,622980,8.85
Africa,Chad,TCD,N'Djamena,21003705,10534496,10469209,0.501554178179516,0.498445821820484,French,"Arabic, Sara",43.264,11.08,908704,232721,675983,World Bank 2025,1284000,1259200,16.68
Africa,Comoros,COM,Moroni,882847,443878,438969,0.502780209934451,0.497219790065549,Arabic,French,28.232,7.123,24925,6289,18636,World Bank 2025,1861,1861,474.39
Africa,Democratic Republic of the Congo,COD,Kinshasa,112832473,55984510,56847963,0.49617373892,0.50382626108,French,"Lingala, Kituba (Democratic Republic of Congo), Kongo",40.885,8.424,4613156,950501,3662655,World Bank 2025,2344860,2267050,49.77
Africa,Djibouti,DJI,Djibouti,1184076,586804,597272,0.495579675628929,0.504420324371071,French,"Arabic, Somali, Afar",20.931,7.487,24784,8865,15919,World Bank 2025,23200,23180,51.08
Africa,Egypt,EGY,Cairo,118365995,59760496,58605499,0.504878922362795,0.495121077637205,Arabic,"English, French",20.915,5.506,2475625,651723,1823902,World Bank 2025,1001450,995450,118.91
Africa,Equatorial Guinea,GNQ,Ciudad de la Paz,1938431,1021292,917139,0.526865284345948,0.473134715654052,Spanish,"French, Portuguese",29.994,7.851,58141,15219,42922,World Bank 2025,28050,28050,69.11
Africa,Eritrea,ERI,Asmara,3607003,1781275,1825728,0.493837959103444,0.506162040896556,Afar,"Arabic, Tigre, Kunama",28.719,5.995,103590,21624,81966,World Bank 2025,121765.8,121178.2,29.77
Africa,Eswatini,SWZ,Mbabane,1256174,616995,639179,0.491170013071438,0.508829986928562,English,Swati,23.648,7.731,29706,9711,19995,World Bank 2025,17360,17200,73.03
Africa,Ethiopia,ETH,Addis Ababa,135472051,67876104,67595947,0.50103400294722,0.49896599705278,Amharic,"English, Oromo, Tigrinya",31.469,5.879,4263170,796440,3466730,World Bank 2025,1136239.7,1128498.8,120.05
Africa,Gabon,GAB,Libreville,2593130,1315214,1277916,0.507191694978655,0.492808305021345,French,,27.127,6.226,70344,16145,54199,World Bank 2025,267670,257670,10.06
Africa,Gambia,GMB,Banjul,2822093,1405315,1416778,0.497969060551867,0.502030939448133,English,"Mandinka, Gambian Wolof, Wolof",29.857,6.249,84259,17635,66624,World Bank 2025,11300,10120,278.86
Africa,Ghana,GHA,Accra,35064272,17509380,17554892,0.499351020320627,0.500648979679373,English,"Akan, Ewe, Twi",25.92,7.009,908866,245765,663101,World Bank 2025,238539,227533,154.11
Africa,Guinea,GIN,Conakry,15099727,7477672,7622055,0.495219019522671,0.504780980477329,French,,33.325,9.028,503198,136320,366878,World Bank 2025,245860,245720,61.45
Africa,Guinea-Bissau,GNB,Bissau,2249515,1112293,1137222,0.494459027834889,0.505540972165111,Portuguese,Upper Guinea Crioulo,29.56,7.009,66496,15767,50729,World Bank 2025,36120,28120,80.0
Africa,Ivory Coast,CIV,Yamoussoukro,32711547,16628362,16083185,0.508333097178192,0.491666902821808,French,,31.564,7.607,1032507,248837,783670,World Bank 2025,322460,318000,102.87
Africa,Kenya,KEN,Nairobi,57532493,28596556,28935937,0.497050527603593,0.502949472396407,Swahili,English,26.968,7.18,1551536,413083,1138453,World Bank 2025,591969,580876.3,99.04
Africa,Lesotho,LSO,Maseru,2363325,1152167,1211158,0.487519490548274,0.512480509451726,English,"Southern Sotho, Zulu, Xhosa",23.762,10.478,56157,24763,31394,World Bank 2025,30360,30360,77.84
Africa,Liberia,LBR,Monrovia,5731206,2861706,2869500,0.499320038400295,0.500679961599705,English,,30.577,8.016,175243,45941,129302,World Bank 2025,111370,96320,59.5
Africa,Libya,LBY,Tripoli,7458555,3791703,3666852,0.508369650689711,0.491630349310289,Arabic,"Italian, English",16.495,6.534,123029,48734,74295,World Bank 2025,1759540,1759540,4.24
Africa,Madagascar,MDG,Antananarivo,32740678,16421791,16318887,0.501571500749007,0.498428499250993,French,Malagasy,31.714,7.471,1038338,244606,793732,World Bank 2025,587295,581800,56.27
Africa,Malawi,MWI,Lilongwe,22216120,10843950,11372170,0.488111785496297,0.511888214503703,Nyanja,"Yao, Tumbuka, Malawi Sena",31.143,5.292,691877,117568,574309,World Bank 2025,118480,94280,235.64
Africa,Mali,MLI,Bamako,25198821,12711637,12487184,0.504453640906454,0.495546359093547,French,Bambara,39.532,8.51,996160,214442,781718,World Bank 2025,1240190,1220190,20.65
Africa,Mauritania,MRT,Nouakchott,5315065,2608802,2706263,0.490831626706353,0.509168373293647,Arabic,"Pulaar, Soninke, French",34.03,5.414,180872,28776,152096,World Bank 2025,1030700,1030700,5.16
Africa,Mauritius,MUS,Port Louis,1243741,620178,623563,0.498639186132804,0.501360813867196,English,"Bhojpuri, French",10.3,10.0,12811,12437,374,World Bank 2025,2010,1997,622.8
Africa,Mayotte,MYT,Mamoudzou,279471,,,,,French,,,,,,,GeoNames (no sex split),374,374,747.25
Africa,Morocco,MAR,Rabat,38430770,19372079,19058691,0.504077305763064,0.495922694236936,Arabic,"Berber languages, French",16.402,5.726,630341,220055,410286,World Bank 2025,446550,446300,86.11
Africa,Mozambique,MOZ,Maputo,35631653,17300760,18330893,0.485544692523807,0.514455307476193,Portuguese,Makhuwa,37.028,6.908,1319369,246143,1073226,World Bank 2025,799380,786380,45.31
Africa,Namibia,NAM,Windhoek,3092816,1510359,1582457,0.488344279129441,0.511655720870559,English,"Afrikaans, German, Herero",25.891,6.176,80076,19101,60975,World Bank 2025,824290,823290,3.76
Africa,Niger,NER,Niamey,27917831,14174857,13742974,0.50773489530759,0.49226510469241,French,"Hausa, Kanuri, Zarma",41.42,8.719,1156357,243416,912941,World Bank 2025,1267000,1266700,22.04
Africa,Nigeria,NGA,Abuja,237527782,120177737,117350045,0.505952339503595,0.494047660496405,English,"Hausa, Yoruba, Igbo",32.493,11.641,7717990,2765061,4952929,World Bank 2025,923770,910770,260.8
Africa,Republic of the Congo,COG,Brazzaville,6484437,3241622,3242815,0.499908010518107,0.500091989481893,French,"Kongo, Lingala",30.424,6.241,197283,40469,156814,World Bank 2025,342000,341500,18.99
Africa,Reunion,REU,Saint-Denis,776948,,,,,French,,,,,,,GeoNames (no sex split),2517,2517,308.68
Africa,Rwanda,RWA,Kigali,14569341,7112388,7456953,0.488174997070904,0.511825002929096,Kinyarwanda,"English, French, Swahili",28.062,5.895,408845,85886,322959,World Bank 2025,26338,24670,590.57
Africa,Saint Helena,SHN,Jamestown,7460,,,,,English,,,,,,,GeoNames (no sex split),410,410,18.2
Africa,Sao Tome and Principe,STP,Sao Tome,240254,119369,120885,0.496845005702298,0.503154994297702,Portuguese,,28.094,5.53,6750,1329,5421,World Bank 2025,960,960,250.26
Africa,Senegal,SEN,Dakar,18931966,9614690,9317276,0.507854810218865,0.492145189781135,French,"Wolof, Pulaar, Mandinka",29.184,5.505,552510,104220,448290,World Bank 2025,196710,192530,98.33
Africa,Seychelles,SYC,Victoria,122730,67569,55161,0.550549987778049,0.449450012221951,English,French,11.0,7.0,1350,859,491,World Bank 2025,460,460,266.8
Africa,Sierra Leone,SLE,Freetown,8819794,4399019,4420775,0.498766637860249,0.501233362139751,English,"Mende (Sierra Leone), Timne",30.108,8.211,265546,72419,193127,World Bank 2025,72300,72180,122.19
Africa,Somalia,SOM,Mogadishu,19654739,9844974,9809765,0.50089568729455,0.49910431270545,Somali,"Arabic, Italian, English",42.346,9.741,832300,191457,640843,World Bank 2025,637660,627340,31.33
Africa,South Africa,ZAF,Pretoria,64747319,31504125,33243194,0.486570339692366,0.513429660307634,Zulu,"Xhosa, Afrikaans, Pedi",18.48,9.237,1196530,598071,598459,World Bank 2025,1219090,1213090,53.37
Africa,South Sudan,SSD,Juba,12188788,5994220,6194568,0.491781463423599,0.508218536576401,English,,29.222,9.821,356181,119706,236475,World Bank 2025,646883,631930,19.29
Africa,Sudan,SDN,Khartoum,51662147,25605038,26057109,0.495624736618089,0.504375263381911,Arabic,"English, Nobiin",32.996,6.335,1704644,327280,1377364,World Bank 2025,1878000,1868000,27.66
Africa,Tanzania,TZA,Dodoma,70545865,34977375,35568490,0.495810420639112,0.504189579360888,Swahili,"English, Arabic",34.801,5.721,2455067,403593,2051474,World Bank 2025,947300,885800,79.64
Africa,Togo,TGO,Lome,8591626,4205132,4386494,0.48944542045941,0.51055457954059,French,"Ewe, Mina (Cameroon), Kabiyè",32.061,8.486,275456,72909,202547,World Bank 2025,56790,54390,157.96
Africa,Tunisia,TUN,Tunis,12348573,6101673,6246900,0.494119684922298,0.505880315077702,Arabic,French,13.37,6.128,165100,75672,89428,World Bank 2025,163610,155360,79.48
Africa,Uganda,UGA,Kampala,51384894,25495638,25889256,0.496169905497908,0.503830094502092,English,"Ganda, Swahili",34.436,4.767,1769490,244952,1524538,World Bank 2025,236040,200520,256.26
Africa,Western Sahara,ESH,El-Aaiun,273008,,,,,Arabic,Hassaniyya,,,,,,GeoNames (no sex split),266000,266000,1.03
Africa,Zambia,ZMB,Lusaka,21913874,10848179,11065695,0.495037025402263,0.504962974597737,English,"Bemba (Zambia), Lozi, Lunda",32.724,5.165,717110,113185,603925,World Bank 2025,752610,743390,29.48
Africa,Zimbabwe,ZWE,Harare,16950795,8087867,8862928,0.477137915950255,0.522862084049745,English,"Shona, South Ndebele, North Ndebele",29.891,7.498,506676,127097,379579,World Bank 2025,390760,386850,43.82
Antarctica,French Southern Territories,ATF,Port-aux-Francais,140,,,,,French,,,,,,,GeoNames (no sex split),7829,7829,0.02
Antarctica,South Georgia and the South Sandwich Islands,SGS,Grytviken,30,,,,,English,,,,,,,GeoNames (no sex split),3903,3903,0.01
Asia,Afghanistan,AFG,Kabul,43844111,22142579,21701532,0.505029717674057,0.494970282325943,Persian,"Pushto, Uzbek, Turkmen",35.007,5.702,1534851,249999,1284852,World Bank 2025,652870,652230,67.22
Asia,Armenia,ARM,Yerevan,3086700,1432485,1654215,0.464083001263485,0.535916998736515,Armenian,,11.1,8.4,34262,25928,8334,World Bank 2025,29740,28199.44,109.46
Asia,Azerbaijan,AZE,Baku,10246996,5024622,5222374,0.490350733034345,0.509649266965655,Azerbaijani,"Russian, Armenian",10.0,5.8,102470,59433,43037,World Bank 2025,86600,82650,123.98
Asia,Bahrain,BHR,Manama,1600366,992852,607514,0.620390585653532,0.379609414346468,Arabic,"English, Persian, Urdu",12.033,2.21,19257,3537,15720,World Bank 2025,800,800,2000.46
Asia,Bangladesh,BGD,Dhaka,175686899,86366729,89320170,0.491594589531687,0.508405410468313,Bengali,English,19.988,5.105,3511630,896882,2614748,World Bank 2025,144000,129980,1351.65
Asia,Bhutan,BTN,Thimphu,796682,425494,371188,0.534082607615084,0.465917392384916,Dzongkha,,12.525,6.065,9978,4832,5146,World Bank 2025,38390,38140,20.89
Asia,British Indian Ocean Territory,IOT,Diego Garcia,4000,,,,,English,,,,,,,GeoNames (no sex split),60,60,66.67
Asia,Brunei,BRN,Bandar Seri Begawan,466330,247435,218895,0.530600647610062,0.469399352389938,Malay,English,13.328,5.335,6215,2488,3727,World Bank 2025,5770,5270,88.49
Asia,Cambodia,KHM,Phnom Penh,17847982,8749635,9098347,0.490231052451756,0.509768947548244,Khmer,"French, English",20.309,6.454,362475,115191,247284,World Bank 2025,181040,176520,101.11
Asia,China,CHN,Beijing,1406585000,716046014,690538986,0.5090670055489,0.4909329944511,Chinese,"Yue Chinese, Wu Chinese, Daur",6.77,7.76,9522580,10915100,-1392520,World Bank 2025,9562910,9388210,149.82
Asia,Cocos Islands,CCK,West Island,628,,,,,Malay,English,,,,,,GeoNames (no sex split),14,14,44.86
Asia,Georgia,GEO,Tbilisi,3935766,1835197,2100569,0.466287121744535,0.533712878255465,Georgian,"Russian, Armenian, Azerbaijani",11.289,11.836,44431,46584,-2153,World Bank 2025,69700,69490,56.64
Asia,Hong Kong,HKG,Hong Kong,7498900,3375085,4123815,0.450077344677219,0.549922655322781,Chinese,"Yue Chinese, English",4.9,7.0,36745,52492,-15747,World Bank 2025,1110,1050,7141.81
Asia,India,IND,New Delhi,1463865525,754775449,709090076,0.515604361268089,0.484395638731912,Hindi,"English, Bengali, Telugu, Marathi, Tamil",15.981,6.587,23394035,9642482,13751553,World Bank 2025,3287590,2973190,492.36
