category,feature_type,name,area_km2,countries,country_count,continents,center_lat,center_lon,wikidata_id,area_source
Island,Island,Greenland,2130170.5,Greenland,1,North America,71.7008,-37.6363,Q223,Calculated from Natural Earth outlines
Island,Island group,Malay Archipelago,1913164.8,"Brunei, Indonesia, Malaysia, Philippines, Timor Leste",5,"Asia, Oceania",-2.4984,103.9229,Q208643,Calculated from Natural Earth outlines
Island,Island group,Greater Sunda Islands,1507642.4,"Brunei, Indonesia, Malaysia, Singapore",4,Asia,-0.8362,111.9904,Q165481,Calculated from Natural Earth outlines
Island,Island group,Arctic Archipelago,1491789.5,"Canada, Greenland",2,North America,72.5765,-98.9929,Q85377,Calculated from Natural Earth outlines
Island,Island group,Melanesia,1019034.6,"Australia, Fiji, Indonesia, New Caledonia, Norfolk Island, Papua New Guinea, Solomon Islands, Vanuatu",8,"Asia, Oceania",-13.1957,162.7448,Q37394,Calculated from Natural Earth outlines
Island,Island,New Guinea,774661.6,"Indonesia, Papua New Guinea",2,"Asia, Oceania",-5.5012,141.9745,Q40285,Calculated from Natural Earth outlines
Island,Island,Borneo,724652.4,"Brunei, Indonesia, Malaysia",3,Asia,1.41,114.8749,Q36117,Calculated from Natural Earth outlines
Island,Island,Madagascar,586467.2,Madagascar,1,Africa,-18.8011,46.7152,Q7463928,Calculated from Natural Earth outlines
Island,Island,Baffin Island,496938.0,Canada,1,North America,67.8698,-69.5991,Q81178,Calculated from Natural Earth outlines
Island,Island,Sumatra,423614.9,Indonesia,1,Asia,-0.1391,101.6303,Q3492,Calculated from Natural Earth outlines
Island,Island group,Queen Elizabeth Islands,418727.0,Canada,1,North America,78.6883,-94.2206,Q216533,Calculated from Natural Earth outlines
Island,Island group,Japan,370057.3,"Japan, Russia",2,"Asia, Europe",37.6725,139.954,Q17,Calculated from Natural Earth outlines
Island,Island group,British Isles,312431.0,"United Kingdom, Isle of Man, Ireland",3,Europe,54.686,-5.1769,Q38272,Calculated from Natural Earth outlines
Island,Island group,Philippines,293096.6,Philippines,1,Asia,12.6537,122.6248,Q928,Calculated from Natural Earth outlines
Island,Island group,Polynesia,292985.7,"American Samoa, Chile, Cook Islands, Kiribati, Niue, New Zealand, Pitcairn, French Polynesia, Tonga, Tuvalu, United States, Wallis and Futuna, Samoa",13,"North America, Oceania, South America",-8.0272,-155.4809,Q35942,Calculated from Natural Earth outlines
Island,Island group,New Zealand,266887.5,New Zealand,1,Oceania,-40.8455,174.5537,Q664,Calculated from Natural Earth outlines
